PC0,PC1,PC2,PC3,PC4,PC5,PC6,Distillery
-0.65183345,-1.198616267,0.165373901,0.776190757,-0.144418858,0.224174335,-0.029411327,Aberfeldy
-2.299146175,-3.726133464,-1.358948141,-0.866907641,-0.689620933,0.501199648,0.195418202,Aberlour
-1.592810803,0.660210013,0.295472274,1.096359396,0.015266841,-0.481004818,0.040488058,AnCnoc
5.382066141,-0.243446796,-1.203085953,0.74394191,0.194228056,0.030241988,1.856718238,Ardbeg
0.120939887,-0.410385759,0.302686825,1.263167087,-1.487249761,0.206194576,0.539880256,Ardmore
0.098830963,1.388469744,1.195442744,-1.645264067,0.284928698,0.206170889,0.761101692,ArranIsleOf
-2.694710118,1.85467146,-1.111181133,1.276798559,0.311220448,-0.463382913,-0.815507135,Auchentoshan
-1.115563375,-1.213871357,1.299012037,0.031426307,-0.266355497,-0.375654349,0.142595556,Auchroisk
-0.856885942,0.989520026,0.489936102,1.672028299,-0.023302792,-0.532295272,0.080449768,Aultmore
0.992366859,0.868879324,0.212290053,-0.422289937,1.782294583,-0.109756525,-0.317704005,Balblair
0.435155223,-2.360661617,2.932978872,-0.303244645,2.380212767,1.155801868,-1.071629827,Balmenach
-0.872844177,-1.07586956,-0.98126623,-1.269785189,-0.504326698,0.387927457,1.508985635,Belvenie
0.158781423,-1.388672431,-0.929160148,0.351733994,0.650401851,0.628067245,0.329400709,BenNevis
-1.157654215,0.345039624,-1.914433304,-0.943358862,0.0198295,-0.561859591,1.198163506,Benriach
-0.887864942,-1.941529811,-0.471922183,1.18390952,-1.247684034,0.485610867,0.686058358,Benrinnes
-0.526438951,-0.942308727,-0.83417549,0.366719422,0.183809284,0.838031745,-0.013770251,Benromach
-1.121638861,2.009366413,-0.792089241,-0.514954735,-0.329197382,-0.800736358,0.190133153,Bladnoch
-0.29026526,-1.028556643,-0.554324753,0.205043441,0.328779795,0.137880846,-0.450403026,BlairAthol
1.218266396,-0.159374037,-0.291545235,-0.673644341,0.652935253,1.888404032,0.610193438,Bowmore
0.492235157,-0.285911734,-1.689875138,1.368189363,-0.050694318,1.063485537,0.210521061,Bruichladdich
-1.005261892,1.216609005,-0.642195805,0.313364772,-0.263079247,-0.049421657,-0.06729923,Bunnahabhain
4.846100172,0.41393212,-0.966496404,0.473474772,0.221421818,0.686081021,-1.725072338,Caol Ila
-1.451799736,1.189232611,0.307146463,0.438975468,0.052660723,0.048313797,-0.347653859,Cardhu
4.641134611,0.643671043,-0.663735665,-0.886315409,0.182744342,-1.02922724,-0.978961031,Clynelish
-0.101659062,-0.20640503,-1.076759953,-0.337096709,-1.364045736,1.955715899,-2.92569508,Craigallechie
0.183905865,1.08909084,0.150278627,0.464223712,0.499555486,-0.433602586,-0.417310198,Craigganmore
0.763253282,-2.26150117,-0.039601823,0.051107595,0.600857868,-0.596978786,0.161280826,Dailuaine
0.707107119,-1.497407462,-0.9648871,-0.471869019,0.493386247,-1.508627781,0.641096118,Dalmore
-0.457191695,0.348943909,-0.61513297,0.360111545,-0.280464336,0.361827674,0.881105308,Dalwhinnie
-0.941090823,-0.584349668,-0.276914855,0.530843996,-1.660154579,-0.6311992,1.277930152,Deanston
-0.339675167,1.951856804,0.833485323,0.260094001,-0.085999434,-1.34075128,0.266736841,Dufftown
-1.651547769,-1.15506815,1.115116508,1.678986367,0.540773951,0.664720766,-1.328579834,Edradour
1.424535669,0.638240575,1.762526977,-2.089613944,-2.825233251,-0.090320808,-0.851551293,GlenDeveronMacduff
-1.508947589,0.441405179,0.602344478,-0.952182381,0.880260461,0.453583044,-0.132239453,GlenElgin
1.18181589,0.281626231,-2.791366856,-0.930673876,0.287047639,0.006434256,0.736959169,GlenGarioch
-1.026158942,1.195449676,1.637452793,1.258626071,0.704327079,-0.851723995,0.013889925,GlenGrant
-0.383827537,-0.141914283,0.74736619,-0.708700102,1.440999604,-0.029367389,-0.308351227,GlenKeith
-1.93460041,0.635218025,-1.403983636,0.377471558,0.405796698,0.960557071,-1.292546465,GlenMoray
-0.373541266,-0.428582833,-0.776259568,-0.500606721,0.262183801,-0.35924102,0.343574223,GlenOrd
1.349299227,0.388642486,1.336364469,1.666562345,-0.601497119,0.007158566,0.618001663,GlenScotia
-0.498039244,1.858101426,1.476109346,-0.592660499,-0.907985185,0.78814303,-0.00478417,GlenSpey
-1.367956623,1.553121419,0.094240433,-0.315329353,-0.253646754,-0.209426194,0.25367739,Glenallachie
0.714583938,-3.809977301,1.573604841,0.314191689,-0.151986278,-1.233277094,0.696192725,Glendronach
-1.107380621,-1.386092102,-0.323769581,-0.040744627,0.103508619,-1.319504257,0.52088762,Glendullan
-1.897858767,-1.734823009,0.712720618,-1.147422112,-0.894332642,-0.606712078,-0.866409523,Glenfarclas
-1.062535675,2.758126139,0.593133689,-0.483613212,-0.572949864,-1.385781164,0.711920173,Glenfiddich
-2.011501424,0.548990943,-0.407065663,1.045799025,0.307436738,-1.192108628,-0.452705109,Glengoyne
-0.864119886,1.565341047,-1.46178178,-0.901700505,-0.340454244,-0.011623181,0.910919898,Glenkinchie
-1.80912006,-0.796020416,-0.2814573,-1.361787428,-0.110798844,0.43716334,-0.241235985,Glenlivet
-0.947963,1.201452239,-1.24887575,-0.147395684,-0.034146767,0.24611681,0.30958865,Glenlossie
0.089665836,0.705244672,-0.556670888,0.258219632,1.601829111,0.526030478,-0.320142459,Glenmorangie
-0.316449761,-0.53913992,1.408063491,-0.685279305,-0.451944958,-1.463047041,0.884992309,Glenrothes
-1.152393841,-1.159040401,0.808364986,-0.635147802,-0.313529332,1.216564925,-0.33037604,Glenturret
1.257200379,-0.328652798,0.298257675,0.273194082,-0.848570832,0.910161036,1.356798419,Highland Park
-0.780869518,0.984338636,-0.133512043,-0.877726389,-0.650393425,1.549169322,0.547710246,Inchgower
2.139460498,0.938870757,0.161301094,1.665516921,0.852159317,0.895282019,0.643957839,Isle of Jura
-1.099098037,-0.452756912,0.425408706,-0.746299312,1.320281587,0.800285313,-0.449416731,Knochando
6.47134367,-0.630728795,0.390337872,0.060544767,-0.437073174,-0.932001144,-0.652862573,Lagavulin
6.423621212,0.50839003,2.000662723,0.00389632,-0.971096633,-0.340987421,-0.465095532,Laphroig
-1.082105141,0.32868697,0.444187265,-1.780173215,1.009194472,-1.680366374,0.366478999,Linkwood
0.140705207,1.793172476,-0.676447181,1.201330189,-0.710583368,0.70931886,0.794347535,Loch Lomond
-1.349688487,-0.936148932,-0.412458934,1.89451657,-0.407940342,-0.1676071,-0.958694467,Longmorn
-0.913412807,-3.631356075,1.504419551,-0.433069953,0.344498542,-2.027568905,-0.067097173,Macallan
-0.177523312,0.356076928,-0.117526432,1.332757266,1.260091644,-0.039565149,-0.202779442,Mannochmore
-0.925242661,1.527477825,2.747532844,-0.216926797,0.773262496,0.472684057,-0.404738155,Miltonduff
0.062436439,-2.670546167,-0.43606251,-0.98023134,1.59640066,0.889852362,-0.552165899,Mortlach
1.943087559,0.42465055,-0.607985497,0.773933663,0.490200654,-0.641336042,0.546671019,Oban
0.539754548,-0.581602518,-0.645299558,0.183531466,-3.031952449,0.943067295,-1.566119676,OldFettercairn
2.275599551,0.69249171,-1.02939687,1.283934257,-1.009825192,-0.9469871,-2.275117617,OldPulteney
0.713046115,0.339102357,-1.396320603,-2.32735589,-1.152507901,-1.462597157,-1.470036801,RoyalBrackla
-0.160102101,-2.443603205,-0.681069109,0.193547471,0.579680045,-0.739554031,0.259946167,RoyalLochnagar
-0.642070002,-0.366712403,-0.005025042,0.998346041,-0.105525991,0.179743518,0.130804324,Scapa
-1.293902595,1.104077762,1.158068268,-1.973465504,-0.975382274,0.640935269,1.125560584,Speyburn
-0.912285263,0.397684341,0.773736522,1.502915495,-0.108433791,-0.729991936,-0.074142925,Speyside
1.829356742,-0.282325842,0.911678529,0.106037764,0.403966634,2.425678135,0.526676342,Springbank
-1.834750525,-2.240359934,-1.159967602,1.319421889,-0.380535516,-0.418916732,-0.730467849,Strathisla
-0.777424536,0.954640346,-0.417300171,-0.504485279,2.265270079,-0.855786552,-0.94798981,Strathmill
3.464395955,-1.177405788,-1.591201084,-0.640629816,0.604412846,-0.163753786,1.597763609,Talisker
-1.434925688,0.775085075,0.470372295,0.833222967,-0.835573563,-0.281447111,0.714939272,Tamdhu
-0.66173174,1.700750128,-0.466969886,-0.472017103,1.820418619,0.757350517,-1.320063095,Tamnavulin
1.40112237,2.085322808,-0.714943158,-1.552636056,2.404491416,-0.023771996,0.472168005,Teaninich
-0.73795491,1.856367491,-0.444745021,1.756290403,-0.543938208,-0.546822421,0.782354761,Tobermory
0.264846893,-0.365796099,1.008211038,-1.219595985,-1.007593474,1.91143115,0.993974923,Tomatin
-1.64297246,0.834883479,0.122842774,-1.036241586,-0.916167376,1.564182764,0.236969636,Tomintoul
0.883621729,0.709483753,2.979422265,1.109493206,0.022515727,0.548215036,0.765691686,Tormore
0.094694316,0.731648998,0.117241787,-1.731549008,-1.187349648,-1.643266197,-2.015547373,Tullibardine
